operationId,operationDate,operationType,note,totalAmtAccepted,propositions
RP 072125 2,2025-07-21,Reverse Repo,,213666000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2450000000}, {'counterpartyType': 'mmf', 'amtAccepted': 211216000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 071825 2,2025-07-18,Reverse Repo,,199298000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4531000000}, {'counterpartyType': 'mmf', 'amtAccepted': 194767000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 071725 2,2025-07-17,Reverse Repo,,193660000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3000000000}, {'counterpartyType': 'mmf', 'amtAccepted': 190659000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 071625 2,2025-07-16,Reverse Repo,,197086000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3275000000}, {'counterpartyType': 'mmf', 'amtAccepted': 193811000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 071525 2,2025-07-15,Reverse Repo,,198277000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4175000000}, {'counterpartyType': 'mmf', 'amtAccepted': 194102000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 071425 2,2025-07-14,Reverse Repo,,217841000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 4175000000}, {'counterpartyType': 'mmf', 'amtAccepted': 213614000000}, {'counterpartyType': 'pd', 'amtAccepted': 51000000}]"
RP 071125 2,2025-07-11,Reverse Repo,,181637000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 5000000000}, {'counterpartyType': 'mmf', 'amtAccepted': 176637000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 071025 2,2025-07-10,Reverse Repo,,183339000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4300000000}, {'counterpartyType': 'mmf', 'amtAccepted': 179039000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 070925 2,2025-07-09,Reverse Repo,,227273000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3800000000}, {'counterpartyType': 'mmf', 'amtAccepted': 223472000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 070825 2,2025-07-08,Reverse Repo,,219415000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3160000000}, {'counterpartyType': 'mmf', 'amtAccepted': 216255000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 070725 2,2025-07-07,Reverse Repo,,218030000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2730000000}, {'counterpartyType': 'mmf', 'amtAccepted': 215300000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 070325 2,2025-07-03,Reverse Repo,,214665000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2650000000}, {'counterpartyType': 'mmf', 'amtAccepted': 212015000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 070225 2,2025-07-02,Reverse Repo,,237307000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2800000000}, {'counterpartyType': 'mmf', 'amtAccepted': 234507000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 070125 2,2025-07-01,Reverse Repo,,245530000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2600000000}, {'counterpartyType': 'mmf', 'amtAccepted': 242930000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 063025 2,2025-06-30,Reverse Repo,,460731000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 71375000000}, {'counterpartyType': 'mmf', 'amtAccepted': 389356000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 062725 2,2025-06-27,Reverse Repo,,285742000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 7515000000}, {'counterpartyType': 'mmf', 'amtAccepted': 278227000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 062625 2,2025-06-26,Reverse Repo,,252432000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 5575000000}, {'counterpartyType': 'mmf', 'amtAccepted': 246857000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 062525 1,2025-06-25,Reverse Repo,,210879000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3050000000}, {'counterpartyType': 'mmf', 'amtAccepted': 207829000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 062425 1,2025-06-24,Reverse Repo,,187367000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3130000000}, {'counterpartyType': 'mmf', 'amtAccepted': 184236000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 062325 1,2025-06-23,Reverse Repo,,165319000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 950000000}, {'counterpartyType': 'mmf', 'amtAccepted': 164369000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 062025 1,2025-06-20,Reverse Repo,,138283000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2275000000}, {'counterpartyType': 'mmf', 'amtAccepted': 136008000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 061825 1,2025-06-18,Reverse Repo,,205050000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 2650000000}, {'counterpartyType': 'mmf', 'amtAccepted': 202399000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 061725 1,2025-06-17,Reverse Repo,,168939000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2525000000}, {'counterpartyType': 'mmf', 'amtAccepted': 166414000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 061625 1,2025-06-16,Reverse Repo,,140759000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2645000000}, {'counterpartyType': 'mmf', 'amtAccepted': 138114000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
